ID_Venta,Fecha,Pais,Ciudad,Cliente,Producto,Categoria,Cantidad,Precio_Unitario,Monto_Total,Medio_Envio,Estado_Envio
1,29/12/2024,Venezuela,Caracas,Ana Perez,Escritorio,Muebles,4,66.74,266.96,Aereo,Cancelado
2,5/9/2024,Bolivia,Cochabamba,Pedro Sanchez,Teclado,Accesorios,1,1176.02,1176.02,Aereo,Entregado
3,26/10/2024,Argentina,Buenos Aires,Pedro Garcia,Auriculares,Accesorios,4,1137.66,4550.64,Maritimo,En transito
4,4/3/2024,Argentina,Cordoba,Carlos Garcia,Silla ergonomica,Muebles,5,438.93,2194.65,Maritimo,Cancelado
5,13/8/2024,Colombia,Bogota,Pedro Sanchez,Impresora,Oficina,1,426.22,426.22,Maritimo,Pendiente
6,21/7/2024,Uruguay,Montevideo,Pedro Perez,Monitor,Electronica,1,543.34,543.34,Maritimo,Pendiente
7,19/9/2024,Brasil,Sao Paulo,Lucia Lopez,Celular,Electronica,1,126.52,126.52,Terrestre,Pendiente
8,17/12/2024,Chile,Valparaiso,Laura Rodriguez,Celular,Electronica,4,972.58,3890.32,Maritimo,Cancelado
9,2/8/2024,Paraguay,Ciudad del Este,Pedro Martinez,Tablet,Electronica,1,67.11,67.11,Maritimo,Pendiente
10,19/6/2024,Brasil,Sao Paulo,Maria Martinez,Auriculares,Accesorios,1,66.48,66.48,Aereo,Entregado
11,14/2/2025,Paraguay,Ciudad del Este,Juan Garcia,Laptop,Electronica,2,1167.91,2335.82,Terrestre,Pendiente
12,26/3/2025,Colombia,Bogota,Maria Martinez,Silla ergonomica,Muebles,4,279.24,1116.96,Maritimo,En transito
13,31/10/2024,Venezuela,Maracaibo,Laura Perez,Laptop,Electronica,4,253.73,1014.92,Aereo,En transito
14,14/6/2024,Brasil,Rio de Janeiro,Carlos Lopez,Impresora,Oficina,1,92.41,92.41,Aereo,En transito
15,7/7/2024,Brasil,Rio de Janeiro,Juan Martinez,Celular,Electronica,1,787.97,787.97,Aereo,Cancelado
16,27/10/2024,Brasil,Brasilia,Juan Sanchez,Celular,Electronica,1,982.18,982.18,Aereo,Cancelado
17,23/5/2024,Bolivia,Santa Cruz,Laura Rodriguez,Monitor,Electronica,2,277.64,555.28,Aereo,Entregado
18,23/6/2024,Peru,Arequipa,Laura Rodriguez,Tablet,Electronica,3,734.62,2203.86,Aereo,Cancelado
19,27/2/2024,Peru,Cusco,Luis Martinez,Laptop,Electronica,1,431.73,431.73,Aereo,Cancelado
20,31/12/2024,Argentina,Buenos Aires,Laura Garcia,Impresora,Oficina,1,107.44,107.44,Aereo,En transito
21,25/6/2024,Bolivia,Santa Cruz,Lucia Garcia,Auriculares,Accesorios,2,988.23,1976.46,Maritimo,Cancelado
22,17/12/2024,Ecuador,Quito,Luis Garcia,Tablet,Electronica,2,54.21,108.42,Terrestre,Cancelado
23,13/10/2024,Venezuela,Maracaibo,Carlos Martinez,Escritorio,Muebles,5,490.24,2451.2,Maritimo,Entregado
24,30/7/2024,Paraguay,Ciudad del Este,Juan Perez,Celular,Electronica,3,671.44,2014.32,Aereo,En transito
25,28/12/2024,Paraguay,Asuncion,Juan Martinez,Impresora,Oficina,4,910.53,3642.12,Terrestre,Entregado
26,18/11/2024,Chile,Santiago,Luis Lopez,Impresora,Oficina,4,268.58,1074.32,Aereo,Entregado
27,16/6/2024,Bolivia,Cochabamba,Juan Sanchez,Camara,Electronica,4,469.23,1876.92,Terrestre,En transito
28,24/3/2024,Peru,Lima,Pedro Martinez,Teclado,Accesorios,2,681.3,1362.6,Terrestre,En transito
29,25/10/2024,Bolivia,La Paz,Pedro Martinez,Teclado,Accesorios,3,739.52,2218.56,Aereo,Cancelado
30,26/3/2025,Venezuela,Caracas,Ana Perez,Silla ergonomica,Muebles,4,217.11,868.44,Aereo,En transito
31,23/10/2024,Chile,Santiago,Carlos Lopez,Monitor,Electronica,1,160.24,160.24,Aereo,Pendiente
32,19/4/2024,Argentina,Cordoba,Pedro Perez,Teclado,Accesorios,4,422.09,1688.36,Terrestre,Pendiente
33,2/10/2024,Brasil,Rio de Janeiro,Carlos Garcia,Camara,Electronica,3,772.19,2316.57,Terrestre,Cancelado
34,28/3/2024,Peru,Arequipa,Ana Garcia,Monitor,Electronica,4,149.21,596.84,Terrestre,Entregado
35,23/12/2024,Venezuela,Valencia,Laura Garcia,Escritorio,Muebles,1,656.4,656.4,Terrestre,Entregado
36,7/1/2025,Uruguay,Salto,Pedro Perez,Impresora,Oficina,3,676.24,2028.72,Maritimo,Pendiente
37,22/3/2024,Brasil,Sao Paulo,Carlos Martinez,Impresora,Oficina,2,256.89,513.78,Terrestre,Pendiente
38,30/1/2025,Uruguay,Paysandu,Luis Garcia,Celular,Electronica,3,424.17,1272.51,Terrestre,Cancelado
39,7/3/2024,Ecuador,Quito,Carlos Perez,Tablet,Electronica,3,59.03,177.09,Maritimo,En transito
40,7/11/2024,Argentina,Rosario,Pedro Garcia,Silla ergonomica,Muebles,3,143.33,429.99,Aereo,En transito
41,23/1/2025,Peru,Lima,Carlos Lopez,Escritorio,Muebles,5,297.66,1488.3,Aereo,Entregado
42,11/9/2024,Peru,Cusco,Carlos Perez,Impresora,Oficina,3,95.65,286.95,Terrestre,Pendiente
43,26/3/2025,Venezuela,Caracas,Maria Sanchez,Camara,Electronica,2,113.75,227.5,Maritimo,Cancelado
44,31/1/2024,Colombia,Bogota,Carlos Perez,Monitor,Electronica,4,151.54,606.16,Terrestre,Pendiente
45,30/8/2024,Peru,Arequipa,Lucia Martinez,Auriculares,Accesorios,3,566.17,1698.51,Aereo,Entregado
46,18/10/2024,Chile,Santiago,Luis Lopez,Celular,Electronica,5,552.5,2762.5,Maritimo,Entregado
47,3/2/2024,Peru,Lima,Lucia Perez,Impresora,Oficina,3,777.31,2331.93,Aereo,Entregado
48,6/3/2025,Peru,Cusco,Laura Garcia,Auriculares,Accesorios,4,440.67,1762.68,Maritimo,Cancelado
49,22/3/2024,Bolivia,La Paz,Ana Rodriguez,Auriculares,Accesorios,2,323.83,647.66,Maritimo,Pendiente
50,27/1/2024,Venezuela,Valencia,Laura Sanchez,Teclado,Accesorios,1,1014.77,1014.77,Maritimo,Cancelado
51,18/1/2025,Argentina,Cordoba,Pedro Lopez,Impresora,Oficina,3,262.13,786.39,Aereo,Entregado
